번호,정답,답지수,난이도,변별도,반응도,1번표기,,,,2번표기,,,,3번표기,,,,4번표기,,,,5번표기,,,,무표기,,,,중복표기,,,,합계,,
,,,,,,상위,하위,인원,(%),상위,하위,인원,(%),상위,하위,인원,(%),상위,하위,인원,(%),상위,하위,인원,(%),상위,하위,인원,(%),상위,하위,인원,(%),상위,하위,인원
32,4,5,55.28,0.02,0.64,0,1,2,1.63%,0,0,0,0%,0,3,5,4.07%,21,18,79,64.23%,14,9,37,30.08%,0,0,0,0%,0,0,0,0%,35,31,123
33,3,5,54.27,-0.05,0.63,0,0,0,0%,1,2,5,4.07%,21,20,78,63.41%,8,6,22,17.89%,5,3,18,14.63%,0,0,0,0%,0,0,0,0%,35,31,123
34,3,5,0,0.1,0.18,15,13,53,43.09%,3,1,5,4.07%,7,3,22,17.89%,1,0,1,0.81%,9,14,41,33.33%,0,0,1,0.81%,0,0,0,0%,35,31,123
35,1,5,0.61,0.19,0.2,11,4,25,20.33%,13,14,53,43.09%,5,10,26,21.14%,5,0,13,10.57%,1,3,5,4.07%,0,0,1,0.81%,0,0,0,0%,35,31,123
36,4,5,34.43,0.25,0.47,0,0,0,0%,0,0,3,2.44%,12,19,49,39.84%,20,10,58,47.15%,3,2,12,9.76%,0,0,1,0.81%,0,0,0,0%,35,31,123
37,5,5,44.67,0.47,0.55,0,2,5,4.07%,1,9,26,21.14%,5,9,23,18.7%,0,0,0,0%,29,11,68,55.28%,0,0,1,0.81%,0,0,0,0%,35,31,123
38,5,5,0,0.28,0.17,0,0,0,0%,0,1,1,0.81%,1,1,3,2.44%,22,27,97,78.86%,12,2,21,17.07%,0,0,1,0.81%,0,0,0,0%,35,31,123
39,2,5,77.64,0.21,0.82,3,2,6,4.88%,31,21,101,82.11%,1,1,2,1.63%,0,7,14,11.38%,0,0,0,0%,0,0,0,0%,0,0,0,0%,35,31,123
40,2,5,7.52,0.04,0.26,5,6,20,16.26%,8,6,32,26.02%,12,10,37,30.08%,9,6,30,24.39%,1,3,4,3.25%,0,0,0,0%,0,0,0,0%,35,31,123
41,4,5,69.51,0.33,0.76,0,0,0,0%,0,1,3,2.44%,3,5,13,10.57%,32,18,93,75.61%,0,7,14,11.38%,0,0,0,0%,0,0,0,0%,35,31,123
42,2,5,2.44,0.1,0.22,0,0,0,0%,9,5,27,21.95%,2,0,2,1.63%,18,26,87,70.73%,6,0,7,5.69%,0,0,0,0%,0,0,0,0%,35,31,123
43,3,5,0,0.08,0.07,0,0,3,2.44%,18,17,56,45.53%,5,2,9,7.32%,5,3,16,13.01%,7,9,38,30.89%,0,0,1,0.81%,0,0,0,0%,35,31,123
44,2,5,0.41,-0.09,0.2,4,1,10,8.13%,7,9,25,20.33%,12,13,54,43.9%,8,6,25,20.33%,4,2,9,7.32%,0,0,0,0%,0,0,0,0%,35,31,123
45,1,5,0,0.2,0.08,8,1,10,8.13%,3,5,15,12.2%,14,20,59,47.97%,6,5,28,22.76%,4,0,11,8.94%,0,0,0,0%,0,0,0,0%,35,31,123
46,3,5,0,0.09,0.2,3,3,26,21.14%,1,1,3,2.44%,11,7,24,19.51%,11,8,34,27.64%,9,12,36,29.27%,0,0,0,0%,0,0,0,0%,35,31,123
47,5,5,32.93,0.03,0.46,0,1,2,1.63%,6,3,14,11.38%,8,6,33,26.83%,3,6,17,13.82%,18,15,57,46.34%,0,0,0,0%,0,0,0,0%,35,31,123
