번호,정답,답지수,난이도,변별도,반응도,1번표기,,,,2번표기,,,,3번표기,,,,4번표기,,,,5번표기,,,,무표기,,,,중복표기,,,,합계,,
,,,,,,상위,하위,인원,(%),상위,하위,인원,(%),상위,하위,인원,(%),상위,하위,인원,(%),상위,하위,인원,(%),상위,하위,인원,(%),상위,하위,인원,(%),상위,하위,인원
1,3,5,34.96,0.21,0.48,1,6,8,6.5%,0,2,3,2.44%,19,11,59,47.97%,13,12,49,39.84%,2,2,4,3.25%,0,0,0,0%,0,0,0,0%,35,33,123
2,2,5,63.41,0.34,0.71,0,4,9,7.32%,31,18,87,70.73%,3,3,11,8.94%,1,3,7,5.69%,0,5,9,7.32%,0,0,0,0%,0,0,0,0%,35,33,123
3,1,5,0,0.25,0.2,11,2,24,19.51%,14,10,37,30.08%,3,8,22,17.89%,4,7,20,16.26%,3,6,20,16.26%,0,0,0,0%,0,0,0,0%,35,33,123
4,4,5,30.33,0.12,0.44,1,3,7,5.69%,7,7,26,21.14%,3,6,21,17.07%,20,15,54,43.9%,4,2,14,11.38%,0,0,1,0.81%,0,0,0,0%,35,33,123
5,4,5,9.55,0.19,0.28,8,4,17,13.82%,3,8,19,15.45%,9,7,38,30.89%,13,6,34,27.64%,2,8,15,12.2%,0,0,0,0%,0,0,0,0%,35,33,123
6,1,5,0,-0.01,0.19,6,6,23,18.7%,16,12,42,34.15%,1,4,8,6.5%,12,9,48,39.02%,0,2,2,1.63%,0,0,0,0%,0,0,0,0%,35,33,123
7,4,5,49.19,0.29,0.59,3,1,6,4.88%,0,3,5,4.07%,7,9,27,21.95%,25,14,73,59.35%,0,6,12,9.76%,0,0,0,0%,0,0,0,0%,35,33,123
8,2,5,5.49,-0.04,0.24,2,6,11,8.94%,6,7,30,24.39%,13,17,50,40.65%,2,0,4,3.25%,12,3,28,22.76%,0,0,0,0%,0,0,0,0%,35,33,123
9,5,5,21.11,0.33,0.37,7,9,29,23.58%,2,5,13,10.57%,2,2,6,4.88%,4,10,29,23.58%,19,7,45,36.59%,1,0,1,0.81%,0,0,0,0%,34,33,123
10,4,5,26.23,0.24,0.41,9,5,26,21.14%,0,2,5,4.07%,4,12,35,28.46%,20,11,50,40.65%,2,3,6,4.88%,0,0,1,0.81%,0,0,0,0%,35,33,123
