번호,정답,답지수,난이도,변별도,반응도,1번표기,,,,2번표기,,,,3번표기,,,,4번표기,,,,5번표기,,,,무표기,,,,중복표기,,,,합계,,
,,,,,,상위,하위,인원,(%),상위,하위,인원,(%),상위,하위,인원,(%),상위,하위,인원,(%),상위,하위,인원,(%),상위,하위,인원,(%),상위,하위,인원,(%),상위,하위,인원
1,5,5,52.87,0.18,0.62,0,1,1,0.81%,0,1,1,0.81%,0,5,7,5.69%,8,7,37,30.08%,26,20,76,61.79%,0,0,1,0.81%,0,0,0,0%,34,34,123
2,4,5,83.74,-0.03,0.87,0,0,0,0%,0,0,0,0%,0,0,0,0%,29,30,107,86.99%,5,4,16,13.01%,0,0,0,0%,0,0,0,0%,34,34,123
3,2,5,9.55,0.15,0.28,11,14,41,33.33%,11,6,34,27.64%,6,6,26,21.14%,6,7,19,15.45%,0,1,3,2.44%,0,0,0,0%,0,0,0,0%,34,34,123
4,2,5,78.66,0.21,0.83,0,2,5,4.07%,31,24,102,82.93%,0,2,3,2.44%,2,6,12,9.76%,1,0,1,0.81%,0,0,0,0%,0,0,0,0%,34,34,123
5,3,5,23.78,0.41,0.39,2,3,16,13.01%,5,4,19,15.45%,20,6,48,39.02%,3,13,17,13.82%,4,8,23,18.7%,0,0,0,0%,0,0,0,0%,34,34,123
6,4,5,64.43,0.5,0.72,0,1,1,0.81%,0,1,3,2.44%,1,13,22,17.89%,32,15,88,71.54%,1,4,9,7.32%,0,0,0,0%,0,0,0,0%,34,34,123
7,4,5,70.53,0.32,0.76,2,5,12,9.76%,0,2,9,7.32%,1,4,5,4.07%,31,20,94,76.42%,0,3,3,2.44%,0,0,0,0%,0,0,0,0%,34,34,123
8,3,5,81.71,0.18,0.85,1,1,3,2.44%,0,2,2,1.63%,32,26,105,85.37%,1,0,3,2.44%,0,5,10,8.13%,0,0,0,0%,0,0,0,0%,34,34,123
9,5,5,56.3,0.35,0.65,1,1,4,3.25%,0,1,3,2.44%,0,2,3,2.44%,3,12,33,26.83%,30,18,80,65.04%,0,0,0,0%,0,0,0,0%,34,34,123
10,2,5,69.51,0.32,0.76,1,6,9,7.32%,29,18,93,75.61%,0,1,1,0.81%,0,2,2,1.63%,4,7,18,14.63%,0,0,0,0%,0,0,0,0%,34,34,123
11,2,5,25.2,0.41,0.4,3,3,10,8.13%,20,6,49,39.84%,4,12,26,21.14%,2,4,13,10.57%,5,9,24,19.51%,0,0,1,0.81%,0,0,0,0%,34,34,123
12,3,5,0,-0.06,0.1,9,9,32,26.02%,3,4,14,11.38%,3,5,12,9.76%,16,10,51,41.46%,3,6,13,10.57%,0,0,1,0.81%,0,0,0,0%,34,34,123
13,4,5,0,0.06,0.04,4,3,12,9.76%,17,21,68,55.28%,2,4,8,6.5%,2,0,5,4.07%,9,6,30,24.39%,0,0,0,0%,0,0,0,0%,34,34,123
